"","year","JanNAO","FebNAO","MarNAO","AprNAO","MayNAO","JunNAO","JulNAO","AugNAO","SepNAO","OctNAO","NovNAO","DecNAO","JanAMO","FebAMO","MarAMO","AprAMO","MayAMO","JunAMO","JulAMO","AugAMO","SepAMO","OctAMO","NovAMO","DecAMO"
"1",1950,0.92,0.4,-0.36,0.73,-0.59,-0.06,-1.26,-0.05,0.25,0.85,-1.26,-1.02,0.105,-0.04,-0.112,-0.137,-0.065,-0.049,-0.062,0.014,0.003,-0.097,0.073,0.082
"2",1951,0.08,0.7,-1.02,-0.22,-0.59,-1.64,1.37,-0.22,-1.36,1.87,-0.39,1.32,0.096,-0.008,0.006,0.162,0.166,0.283,0.415,0.297,0.243,0.252,0.168,0.168
"3",1952,0.93,-0.83,-1.49,1.01,-1.12,-0.4,-0.09,-0.28,-0.54,-0.73,-1.13,-0.43,0.165,0.176,0.224,0.184,0.174,0.376,0.366,0.397,0.355,0.348,0.244,0.334
"4",1953,0.33,-0.49,-0.04,-1.67,-0.66,1.09,0.4,-0.71,-0.35,1.32,1.04,-0.47,0.258,0.178,0.134,0.306,0.335,0.268,0.337,0.251,0.273,0.141,0.237,0.251
"5",1954,0.37,0.74,-0.83,1.34,-0.09,-0.25,-0.6,-1.9,-0.44,0.6,0.4,0.69,0.22,0.088,0.093,-0.021,0.062,0.092,-0.052,-0.022,-0.018,-0.04,-0.034,-0.059
"6",1955,-1.84,-1.12,-0.53,-0.42,-0.34,-1.1,1.76,1.07,0.32,-1.47,-1.29,0.17,0.068,0.033,0.034,0.088,0.169,0.186,0.261,0.167,0.195,0.271,0.378,0.249
"7",1956,-0.22,-1.12,-0.05,-1.06,2.21,0.1,-0.75,-1.37,0.24,0.88,0.51,0.1,0.179,0.087,0.006,0.056,-0.066,-0.272,-0.098,-0.106,-0.097,-0.051,-0.095,0.011
"8",1957,1.05,0.11,-1.26,0.49,-0.79,-0.72,-1.19,-0.55,-1.66,1.32,0.73,0.12,-0.089,-0.114,-0.027,-0.082,-0.129,-0.02,0.032,0.194,0.213,0.141,0.076,0.071
"9",1958,-0.54,-1.06,-1.96,0.37,-0.24,-1.38,-1.73,-1.56,-0.07,0.16,1.64,-0.7,0.04,0.18,0.336,0.338,0.193,0.213,0.156,0.152,0.204,0.143,0.176,0.211
"10",1959,-0.87,0.68,-0.15,0.36,0.39,0.4,0.74,0.06,0.88,0.89,0.41,0.44,0.091,0.106,-0.036,-0.013,-0.002,-0.068,-0.041,0.003,0.116,0.103,0.042,0.1
"11",1960,-1.29,-1.89,-0.5,1.36,0.45,-0.21,0.35,-1.4,0.39,-1.73,-0.51,0.06,0.167,0.207,0.079,0.088,0.293,0.31,0.261,0.326,0.201,0.287,0.241,0.128
