buoy,date,depth,temperature,salinity,sigma_t
M01,2003-07-01,1,14.087335648994516,32.418648623400365,24.172097557586838
M01,2003-07-01,996921e31,7.494543795620438,34.298117693430655,26.79653680109489
M01,2003-08-01,1,16.28800188172043,32.31576822177419,23.61492734139785
M01,2003-08-01,996921e31,8.47633064516129,34.604697701612906,26.891044313172042
M01,2003-09-01,1,16.168307916666667,32.55157985,23.826168056944443
M01,2003-09-01,996921e31,8.306694444444444,34.56398529305555,26.885363225
M01,2003-10-01,1,12.187559701492537,32.992769937584804,24.99108735549525
M01,2003-10-01,996921e31,8.483872282608695,34.612003566576085,26.8958379375
M01,2003-11-01,1,9.895195416666667,33.06600135833333,25.45709627638889
M01,2003-11-01,996921e31,8.471152777777778,34.55732072222222,26.85467775972222
M01,2003-12-01,1,7.668575134408602,33.44011600134409,26.095552286290324
M01,2003-12-01,996921e31,8.66298788694482,34.58480988559892,26.84665395962315
M01,2004-01-01,1,5.52489811827957,33.19383738492598,26.179948122476446
M01,2004-01-01,996921e31,8.56962365591398,34.54753344623656,26.83199626344086
M01,2004-02-01,1,3.7946258620689655,32.94735336206897,26.16815619396552
M01,2004-02-01,996921e31,8.939008620689656,34.64361156178161,26.848901573275864
M01,2004-03-01,1,2.0137918010752687,32.133494059139785,25.672891307795698
M01,2004-03-01,996921e31,8.86744623655914,34.60071067876344,26.82683718951613
M01,2004-04-01,1,2.514589583333333,31.86522992361111,25.420170402777778
M01,2004-04-01,996921e31,8.235612813370473,34.36545506128134,26.73983402228412
M01,2004-05-01,1,5.737500403225806,32.00483400403226,25.211881728494625
M01,2004-05-01,996921e31,7.690094466936572,34.208460704453444,26.697852765182187
M01,2004-06-01,1,7.027770422535212,32.07660618309859,25.112213985915492
M01,2004-06-01,996921e31,7.326526315789474,34.115957231578946,26.677143315789472
M01,2004-07-01,1,15.348422061482822,32.06272167811935,23.630704171790235
M01,2004-07-01,996921e31,7.002314647377938,34.13455529113924,26.73680930198915
M01,2004-08-01,1,17.020208467741934,32.02937768548387,23.22928610215054
M01,2004-08-01,996921e31,7.181391129032258,34.219662024193546,26.77905534408602
M01,2004-09-01,1,15.777901388888889,32.07135134861111,23.53959255138889
M01,2004-09-01,996921e31,6.988060822898032,34.150441758992805,26.751285366906476
M01,2004-10-01,1,11.801147631935047,32.060701297699595,24.33241854939107
M01,2004-10-01,996921e31,7.6345857142857145,34.39571472285714,26.853203695714285
M01,2004-11-01,1,9.000578472222223,31.952716825,24.730584159722223
M01,2004-11-01,996921e31,7.624513888888889,34.355647670833335,26.823129752777778
M01,2004-12-01,1,7.208824462365591,32.07547077419355,25.08623517607527
M01,2004-12-01,996921e31,7.336048387096774,34.226559393817205,26.762761508064518
M01,2005-01-01,1,5.25211559139785,32.02688154374159,25.286288290713323
M01,2005-01-01,996921e31,6.932884253028264,34.03346582637954,26.666662956931358
M01,2005-02-01,1,2.9373735119047617,31.671013563338303,25.232963967213113
M01,2005-02-01,996921e31,6.788464285714285,33.9117574375,26.590401802083335
M01,2005-03-01,1,2.774115994623656,31.8827676344086,25.41543713575269
M01,2005-03-01,996921e31,6.721033602150538,33.80724193951613,26.517072973118278
M01,2005-04-01,1,4.456220833333333,31.955728868055555,25.317205725
M01,2005-04-01,996921e31,6.69988995215311,33.772670344497605,26.492635220095693
M01,2005-05-01,1,6.099798376184032,31.933240933694183,25.113389308525033
M01,2005-05-01,996921e31,6.92964156626506,33.964187343373496,26.612622159638555
M01,2005-06-01,1,9.1839375,31.668911743055556,24.477355516666666
M01,2005-06-01,996921e31,7.340423611111111,34.138340633333335,26.69125376527778
M01,2005-07-01,1,12.586526881720431,31.55377437768817,23.79485321639785
M01,2005-07-01,996921e31,8.193763440860215,34.476814154569894,26.833843501344084
M01,2005-08-01,1,15.448426478494623,31.794770514784947,23.401744142473117
M01,2005-08-01,996921e31,8.110604838709678,34.45747507123656,26.831455865591398
M01,2005-09-01,1,15.325788194444444,31.890796031944443,23.499613520833332
M01,2005-09-01,996921e31,8.1205,34.47116791944445,26.840710366666666
M01,2005-10-01,1,12.848612195121952,32.266369635501356,24.294544856368564
M01,2005-10-01,996921e31,7.963915989159892,34.40759697696477,26.814118459349594
M01,2005-11-01,1,9.71912875,32.79007134444444,25.2720413375
M01,2005-11-01,996921e31,8.146194444444445,34.4292187125,26.803876552777776
M01,2005-12-01,1,7.581372849462365,32.94279441129032,25.716080670698926
M01,2005-12-01,996921e31,8.121801075268817,34.4413592688172,26.817087293010754
M01,2006-01-01,1,6.26690940860215,32.995752612903225,25.935365463709676
M01,2006-01-01,996921e31,8.222668500687758,34.49770210316369,26.846138438789545
M01,2006-02-01,1,4.91297,32.429496564663026,25.644594420765028
M01,2006-02-01,996921e31,8.134727272727273,34.44297742909091,26.81645178909091
M01,2006-03-01,1,4.108145564516129,32.28254988306452,25.613734657258064
M01,2006-03-01,996921e31,8.084220430107527,34.40335629166667,26.792937451612904
M01,2006-04-01,1,5.379792916666666,32.22388289861111,25.431259136111112
M01,2006-04-01,996921e31,8.041291666666666,34.376553879166664,26.778311031944444
M01,2006-05-01,1,7.678003629032258,32.131473508064516,25.057659259408602
M01,2006-05-01,996921e31,8.053749999999999,34.36488431451613,26.767284208333333
M01,2006-06-01,1,12.031295555555555,31.733972856944444,24.037371572222224
M01,2006-06-01,996921e31,8.104972222222223,34.3853913875,26.7757047125
M01,2006-07-01,1,15.843731390977444,31.963236832706766,23.43982325469925
M01,2006-07-01,996921e31,7.931911886792453,34.35596530660377,26.778397320754717
M01,2006-08-01,1,16.78780228494624,32.163655413978496,23.38486310013441
M01,2006-08-01,996921e31,8.13729939516129,34.449114948252685,26.820796459005376
M01,2006-09-01,1,16.126847152777778,32.35577075972222,23.685561975694444
M01,2006-09-01,996921e31,8.627414305555556,34.625632261111114,26.884009761111113
M01,2006-10-01,1,13.249911760752688,32.72373140793011,24.5732523844086
M01,2006-10-01,996921e31,8.78582930107527,34.65532230040323,26.882626331317205
M01,2006-11-01,1,10.496584236111111,32.89725955902778,25.226306004166666
M01,2006-11-01,996921e31,8.653501666666667,34.59337279583333,26.85485430138889
M01,2006-12-01,1,9.06325188172043,33.07076944623656,25.597014228494622
M01,2006-12-01,996921e31,8.566305779569893,34.54799998723118,26.83288022311828
M01,2007-01-01,1,7.32906370967742,33.067812646505374,25.848012164650537
M01,2007-01-01,996921e31,8.541540994623656,34.51760913306452,26.812890695564516
M01,2007-02-01,1,5.518701413690477,33.06252731026786,26.079929738095238
